Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
IN21|STA-13|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Arica y Parinacota|Arica|Arica|2014-04-07|2599-12-31|-18.4804|-70.3249|WGS84|127.0
IN22|STA-12|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Arica y Parinacota|Arica|Arica|2014-04-07|2599-12-31|-18.7719|-70.3152|WGS84|128.0
IN23|STA-11|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Arica y Parinacota|Arica|Camarones|2014-04-06|2599-12-31|-18.8729|-69.6829|WGS84|2402.0
IN24|STA-22|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Tarapacá|Iquique|Iquique|2014-04-06|2599-12-31|-21.2618|-70.0414|WGS84|998.0
IN25|STA-33|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Tarapacá|Tamarugal|Huara|2014-04-05|2599-12-31|-19.9562|-69.9073|WGS84|1125.0
IN26|STA-17|C1|CSN|HHE;HHN;HHZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|Arica y Parinacota|Arica|Camarones|2014-04-05|2599-12-31|-19.0473|-70.0618|WGS84|1172.0
IN27|STA-35|C1|CSN|HNE;HNN;HNZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;Guralp CMG5T Sensor/Quanterra 330 Linear Phase Com|Tarapacá|Tamarugal|Huara|2014-05-04|2599-12-31|-19.52602|-70.15988|WGS84|964.0
IN28|STA-34|C1|CSN|HNE;HNN;HNZ;LCE;LCQ;VCO;VEA;VEC;VEP;VKI;VMU;VMV;VMW;VPB|Quanterra 330 Linear Phase Composite;Guralp CMG5T Sensor/Quanterra 330 Linear Phase Com|Tarapacá|Tamarugal|Huara|2014-05-03|2599-12-31|-19.3077|-70.1082|WGS84|1328.0
LCO|Las Campanas Astronomical Observatory, Chile|IU|Global Seismograph Network - IRIS/USGS (GSN)|BH1;BH2;BHZ;HH1;HH2;HHZ|Metrozet M2166 VBB seismometer;Streckeisen STS-1VBB w/E300;Trillium 240 broad band|Atacama|Huasco|Vallenar|2014-08-04|2599-12-31|-29.011|-70.7005|WGS84|2274.0
LVC|Limon Verde, Chile|IU|Global Seismograph Network - IRIS/USGS (GSN)|BH1;BH2;BHZ;HH1;HH2;HHZ|Streckeisen STS-2.5;Streckeisen STS-1VBB w/E300|Antofagasta|El Loa|Calama|2012-09-24|2013-05-08|-22.6127|-68.9111|WGS84|2930.0
