Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
QUIR|Quirralco|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Ríos|Ranco|Lago Ranco|2018-01-01|2599-12-31|-40.348903|-72.112947|WGS84|326.0
SNJO|SAN JOSE|TC|Sernageomin|HHE;HHN;HHZ|Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Metropolitana de Santiago|Cordillera|San José de Maipo|2018-01-01|2599-12-31|-33.810685|-69.942921|WGS84|3611.0
TUPU|Tupungatito|TC|Sernageomin|HHZ|L-4C, 1 Hz, 171 V/m/s, Rc=5500 Ohms, Rs=8905 Ohms-|Metropolitana de Santiago|Cordillera|San José de Maipo|2017-01-01|2599-12-31|-33.35685|-69.844618|WGS84|4095.0
VETA|VETADO|TC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130, gain 1, 10|La Araucanía|Cautín|Villarrica|2018-01-01|2599-12-31|-39.434893|-71.961272|WGS84|1840.0
VICU|Vicuna|TC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Arica y Parinacota|Parinacota|Putre|2017-01-01|2599-12-31|-18.408|-69.10963|WGS84|5176.0
YATE|Pinto|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Hualaihué|2018-01-01|2599-12-31|-41.81047|-72.352881|WGS84|1567.0
CUEV|Cuervo|VC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2018-02-28|2599-12-31|-45.16924|-73.09567|WGS84|1161.0
ETRA|Estrella|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.17604|-73.32672|WGS84|11.0
USPA|Uspallante|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2010-01-01|2599-12-31|-44.95245|-73.103314|WGS84|15.0
YLTN|Yulton|VC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2018-02-28|2599-12-31|-45.05831|-73.10867|WGS84|1019.0
BLA|Blanco|TC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.866981|-72.683988|WGS84|158.0
BO2|Bonito|TC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.816928|-72.678211|WGS84|371.0
CA2|Caverna|TC|Sernageomin|HHE;HHN;HHZ|Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Los Lagos|Palena|Chaitén|2016-06-04|2599-12-31|-42.9685|-72.67885|WGS84|70.0
CAL|Caldera|TC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.822822|-72.641621|WGS84|889.0
CAV|Caverna|TC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.9685|-72.678787|WGS84|70.0
QUI|Quila|TC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.773042|-72.606967|WGS84|376.0
ADA|Adalicio|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-46.03142|-72.74897|WGS84|1159.0
AYA|Ayacara|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.29061|-72.6996|WGS84|66.0
AYS|Aysen|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.37833|-72.68816|WGS84|63.0
CHA|Chacabuco|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.42799|-72.76112|WGS84|66.9
COR|Corcovado|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-43.15404|-72.81457|WGS84|1106.0
COY|Coyhaique|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Coihaique|Coihaique|2010-01-01|2599-12-31|-45.541|-72.05516|WGS84|504.0
EST|Estrella|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.17604|-73.32672|WGS84|11.0
FRIO|Frio|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-45.984101|-72.942096|WGS84|1080.0
GLA|Glaciar|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.7844|-72.510217|WGS84|843.0
GUA|Guardaramiro|VC|Sernageomin|HH1;HH2;HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps;Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Magallanes y de la Antártica Chilena|Última Esperanza|Natales|2015-08-31|2016-01-20|-52.237374|-73.139212|WGS84|13.0
HUDS|Hudson|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-45.959333|-72.886117|WGS84|1000.0
JUN|La Junta|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-43.99325|-72.46233|WGS84|307.0
LPS|Lodge Patagonia Sur|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-44.11361|-73.11833|WGS84|44.0
MAG|Magdalena|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps;Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2016-01-05|-44.6349|-72.925062|WGS84|59.0
MEL|Melimoyu|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-44.05833|-72.8|WGS84|843.0
MOR|Morrillo|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-43.20572|-72.880659|WGS84|110.0
PAS|Pasto|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130S, gain 1, 1|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.8112|-72.364782|WGS84|1311.0
PIE|Piedra|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130S, gain 1, 1|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.85344|-72.34592|WGS84|1493.0
POY|Poyo|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.36395|-72.543167|WGS84|1282.0
PUY|Puyuhuapi|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2014-01-01|2599-12-31|-44.32045|-72.56786|WGS84|47.0
RMB|Raul Marin Balmaceda|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-43.88891|-72.90688|WGS84|37.0
TUR|Turbio|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.91918|-72.38667|WGS84|459.0
USP|Uspallante|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2010-01-01|2599-12-31|-44.95245|-73.103314|WGS84|15.0
VENTQ|Ventisquero|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.88144|-72.45512|WGS84|458.0
ADAL|Adalicio|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-46.03142|-72.74897|WGS84|1159.0
AYA|Ayacara|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.29061|-72.6996|WGS84|66.0
AYSN|Aysen|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.37833|-72.68816|WGS84|63.0
CA2|Caverna|VC|Sernageomin|HHE;HHN;HHZ|Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Los Lagos|Palena|Chaitén|2016-06-04|2599-12-31|-42.9685|-72.67885|WGS84|70.0
CHAC|Chacabuco|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.42799|-72.76112|WGS84|66.9
CUEV|Cuervo|VC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2018-02-28|2599-12-31|-45.16924|-73.09567|WGS84|1161.0
CYQE|Coyhaique|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Aysén del General Carlos Ibáñez del Campo|Coihaique|Coihaique|2010-01-01|2599-12-31|-45.541|-72.05516|WGS84|504.0
ETRA|Estrella|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2010-01-01|2599-12-31|-45.17604|-73.32672|WGS84|11.0
FRIO|Frio|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-45.984101|-72.942096|WGS84|1080.0
GLCR|Glaciar|VC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.7844|-72.510217|WGS84|843.0
HUDS|Hudson|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Aysén del General Carlos Ibáñez del Campo|General Carrera|Río Ibáñez|2010-01-01|2599-12-31|-45.959333|-72.886117|WGS84|1000.0
HUEM|Huemules|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Aysén del General Carlos Ibáñez del Campo|Aisén|Aisén|2017-03-27|2599-12-31|-45.865817|-73.113125|WGS84|1224.0
LJUN|La Junta|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-43.99325|-72.46233|WGS84|307.0
LOPS|Lodge Patagonia Sur|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-44.11361|-73.11833|WGS84|44.0
MGDN|Magdalena|VC|Sernageomin|HHE;HHN;HHZ|Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2016-01-05|2599-12-31|-44.6349|-72.925062|WGS84|59.0
MLLO|Morrillo|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-43.20572|-72.880659|WGS84|110.0
PDRA|Piedra|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130S, gain 1, 1|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.85344|-72.34592|WGS84|1493.0
PHPI|Puyuhuapi|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2014-01-01|2599-12-31|-44.32045|-72.56786|WGS84|47.0
PSTO|Pasto|VC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130S, gain 1, 1|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.8112|-72.364782|WGS84|1311.0
RMB|Raul Marin Balmaceda|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2010-01-01|2599-12-31|-43.88891|-72.90688|WGS84|37.0
RMBA|Raul Marin Balmaceda|VC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2018-01-01|2599-12-31|-43.88891|-72.90688|WGS84|37.0
TBIO|Turbio|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2018-01-01|2599-12-31|-42.91918|-72.38667|WGS84|459.0
USPA|Uspallante|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2010-01-01|2599-12-31|-44.95245|-73.103314|WGS84|15.0
VNTQ|Ventisquero|VC|Sernageomin|HHE;HHN;HHZ|RT151, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Chaitén|2010-01-01|2599-12-31|-42.88144|-72.45512|WGS84|458.0
YLTN|Yulton|VC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Aysén del General Carlos Ibáñez del Campo|Aisén|Cisnes|2018-02-28|2599-12-31|-45.05831|-73.10867|WGS84|1019.0
